Rank,Node IP,Block ID,Time Diff for Last Block (ms)
1,37.27.68.xxx,1596130,2.036
2,198.84.243.xxx,1596130,2.106
3,189.217.83.xxx,1596130,2.107
4,58.169.131.xxx,1596130,2.168
5,162.19.99.xxx,1596130,2.172
6,141.95.169.xxx,1596130,2.225
7,103.106.58.xxx,1596130,2.31
8,78.46.80.xxx,1596130,2.338
9,89.77.74.xxx,1596130,2.495
10,73.156.3.xxx,1596130,2.498
11,96.250.163.xxx,1596130,2.527
12,185.7.170.xxx,1596130,2.657
13,74.50.76.xxx,1596130,2.663
14,176.109.52.xxx,1596130,2.672
15,188.214.130.xxx,1596130,2.739
16,98.97.182.xxx,1596130,2.796
17,144.76.3.xxx,1596130,2.895
18,113.176.163.xxx,1596130,2.94
19,186.233.185.xxx,1596130,2.993
20,185.166.170.xxx,1596130,3.001
21,84.59.129.xxx,1596130,3.004
22,73.210.185.xxx,1596130,3.072
23,116.202.173.xxx,1596130,3.132
24,93.180.190.xxx,1596130,3.14
25,1.162.225.xxx,1596130,3.155
26,135.181.246.xxx,1596130,3.163
27,213.76.115.xxx,1596130,3.271
28,183.80.2.xxx,1596130,3.328
29,154.38.162.xxx,1596130,3.379
30,98.122.100.xxx,1596130,3.464
31,160.202.130.xxx,1596130,3.515
32,79.190.201.xxx,1596130,3.567
33,92.205.177.xxx,1596130,3.593
34,64.20.46.xxx,1596130,3.594
35,43.134.21.xxx,1596130,3.599
36,65.21.105.xxx,1596130,3.623
37,69.10.38.xxx,1596130,3.759
38,101.33.118.xxx,1596130,3.825
39,207.244.242.xxx,1596130,3.831
40,43.134.28.xxx,1596130,3.841
41,84.247.168.xxx,1596130,3.843
42,84.247.168.xxx,1596130,3.886
43,43.153.192.xxx,1596130,3.912
44,52.195.216.xxx,1596130,3.923
45,72.167.42.xxx,1596130,4.126
46,65.109.52.xxx,1596130,4.135
47,64.20.33.xxx,1596130,4.143
48,84.247.185.xxx,1596130,4.281
49,119.28.113.xxx,1596130,4.316
50,62.171.190.xxx,1596130,4.405
51,185.137.21.xxx,1596130,4.422
52,165.22.241.xxx,1596130,4.539
53,54.227.129.xxx,1596130,4.562
54,65.109.67.xxx,1596130,4.572
55,83.6.108.xxx,1596130,4.85
56,45.250.253.xxx,1596130,5.004
57,45.129.180.xxx,1596130,5.048
58,193.104.5.xxx,1596130,5.06
59,58.186.45.xxx,1596130,5.062
60,162.55.2.xxx,1596130,5.117
61,103.88.234.xxx,1596130,5.258
62,43.134.77.xxx,1596130,5.314
63,143.198.210.xxx,1596130,5.344
64,139.59.240.xxx,1596130,5.37
65,69.67.149.xxx,1596130,5.426
66,156.57.52.xxx,1596130,5.46
67,125.115.91.xxx,1596130,5.461
68,90.173.151.xxx,1596130,5.504
69,190.242.27.xxx,1596130,5.559
70,157.245.50.xxx,1596130,5.679
71,144.208.193.xxx,1596130,5.689
72,139.59.247.xxx,1596130,5.774
73,128.199.191.xxx,1596130,5.824
74,174.138.26.xxx,1596130,6.049
75,37.27.61.xxx,1596130,6.078
76,205.209.106.xxx,1596130,6.148
77,213.239.194.xxx,1596130,6.17
78,207.180.248.xxx,1596130,6.221
79,77.253.146.xxx,1596130,6.318
80,5.189.187.xxx,1596130,6.444
81,167.172.77.xxx,1596130,6.448
82,1.53.252.xxx,1596130,6.671
83,116.30.3.xxx,1596130,6.68
84,186.233.186.xxx,1596130,6.704
85,207.180.255.xxx,1596130,6.712
86,114.226.239.xxx,1596130,6.804
87,128.199.230.xxx,1596130,6.844
88,173.212.227.xxx,1596130,6.847
89,51.79.254.xxx,1596130,6.889
90,174.138.21.xxx,1596130,6.924
91,88.198.54.xxx,1596130,6.932
92,167.86.68.xxx,1596130,7.003
93,47.252.11.xxx,1596130,7.041
94,76.31.13.xxx,1596130,7.094
95,167.86.73.xxx,1596130,7.129
96,95.217.32.xxx,1596130,7.268
97,43.163.8.xxx,1596130,7.421
98,213.239.234.xxx,1596130,7.501
99,167.71.204.xxx,1596130,7.678
100,95.156.230.xxx,1596130,7.763
Xenobi Ranking,76
